Position,Name,Birth Date
1,Johnny Depp,6/9/63
2,Arnold Schwarzenegger,7/30/47
3,Jim Carrey,1/17/62
4,Emma Watson,4/15/90
5,Daniel Radcliffe,7/23/89
6,Leonardo DiCaprio,11/11/74
7,Tom Cruise,7/3/62
8,Brad Pitt,12/18/63
10,Morgan Freeman,6/1/37
11,Tom Hanks,7/9/56
12,Hugh Jackman,10/12/68
13,Matt Damon,10/8/70
14,Sylvester Stallone,7/6/46
15,Will Smith,9/25/68
16,Clint Eastwood,5/31/30
17,Cameron Diaz,8/30/72
18,George Clooney,5/6/61
19,Steven Spielberg,12/18/46
20,Harrison Ford,7/13/42
21,Robert De Niro,8/17/43
22,Al Pacino,4/25/40
23,Robert Downey Jr.,4/4/65
24,Russell Crowe,4/7/64
25,Liam Neeson,6/7/52
26,Kate Winslet,10/5/75
27,Mark Wahlberg,6/5/71
28,Natalie Portman,6/9/81
29,Pierce Brosnan,5/16/53
30,Sean Connery,8/25/30
31,Orlando Bloom,1/13/77
32,Dwayne Johnson,5/2/72
33,Jackie Chan,4/7/54
34,Angelina Jolie,6/4/75
35,Adam Sandler,9/9/66
36,Scarlett Johansson,11/22/84
37,Heath Ledger,4/4/79
38,Anne Hathaway,11/12/82
39,Jessica Alba,4/28/81
40,Edward Norton,8/18/69
41,Keira Knightley,3/26/85
42,Bradley Cooper,1/5/75
43,Will Ferrell,7/16/67
44,Julia Roberts,10/28/67
45,Nicolas Cage,1/7/64
46,Daniel Craig,3/2/68
47,Keanu Reeves,9/2/64
48,Ian McKellen,5/25/39
49,Halle Berry,8/14/66
50,Bruce Willis,3/19/55
51,Samuel L. Jackson,12/21/48
52,Ben Stiller,11/30/65
53,Tommy Lee Jones,9/15/46
54,Antonio Banderas,8/10/60
55,Denzel Washington,12/28/54
56,Steve Carell,8/16/62
57,Shia LaBeouf,6/11/86
58,Megan Fox,5/16/86
59,James Franco,4/19/78
60,Mel Gibson,1/3/56
61,Vin Diesel,7/18/67
62,Tim Allen,6/13/53
63,Robin Williams,7/21/51
64,Kevin Spacey,7/26/59
65,Jason Biggs,5/12/78
66,Seann William Scott,10/3/76
67,Jean-Claude Van Damme,10/18/60
68,Zach Galifianakis,10/1/69
69,Owen Wilson,11/18/68
70,Christian Bale,1/30/74
71,Peter Jackson,10/31/61
72,Sandra Bullock,7/26/64
73,Bruce Lee,11/27/40
74,Drew Barrymore,2/22/75
75,Macaulay Culkin,8/26/80
76,Jack Nicholson,4/22/37
77,Bill Murray,9/21/50
78,Sigourney Weaver,10/8/49
79,Jake Gyllenhaal,12/19/80
80,Kamal Haasan,11/7/54
81,Jason Statham,7/26/67
82,Jet Li,4/26/63
83,Kate Beckinsale,7/26/73
84,Rowan Atkinson,1/6/55
85,Marlon Brando,4/3/24
86,John Travolta,2/18/54
87,Channing Tatum,4/26/80
88,Ben Affleck,8/15/72
89,Shah Rukh Khan,11/2/65
90,Jennifer Aniston,2/11/69
91,Emma Stone,11/6/88
92,Chris Hemsworth,8/11/83
93,James McAvoy,4/21/79
94,James Cameron,8/16/54
95,Amitabh Bachchan,10/11/42
96,Brendan Fraser,12/3/68
97,Rachel McAdams,11/17/78
98,Tom Hiddleston,2/9/81
99,Aamir Khan,3/14/65
100,Rajinikanth,12/12/50
